treatment;number;date;Cylindrospermium;Chlamydomonas terricola;Ankistrodesmus sp.;Phacus smulkowskia;Cryptomonas sp.;Oocystis sp.;Tetraedron sp.;Nitzschia sp.;Fragilaria capucina;Coccoid Cyanobacterium;Eudorina elegans;Gymnodinium sp;Peridinium cinctum;Closterium navicula;Staurastrum hirsutum;Tetmemorus laevis;Stichococcus sp.;Microthamnion sp.;Cosmarium biretum;all
LVP;1;08.08.2005;;;;;;;;;;;;;;;;;;;;
LVP;2;08.08.2005;;;;;;;;;;;;;;;;;;;;
LVP;3;08.08.2005;;;;;;;;;;;;;;;;;;;;
LVP;4;08.08.2005;;;;;;;;;;;;;;;;;;;;
LVP;5;08.08.2005;;;;;;;;;;;;;;;;;;;;
LVP;6;08.08.2005;;;;;;;;;;;;;;;;;;;;
LVP;7;08.08.2005;;;;;;;;;;;;;;;;;;;;
LVP;8;08.08.2005;;;;;;;;;;;;;;;;;;;;
HSA;1;08.08.2005;;;;;;;;;;;;;;;;;;;;
HSA;2;08.08.2005;;;;;;;;;;;;;;;;;;;;
HSA;3;08.08.2005;;;;;;;;;;;;;;;;;;;;
HSA;4;08.08.2005;;;;;;;;;;;;;;;;;;;;
HSA;5;08.08.2005;;;;;;;;;;;;;;;;;;;;
HSA;6;08.08.2005;;;;;;;;;;;;;;;;;;;;
HSA;7;08.08.2005;;;;;;;;;;;;;;;;;;;;
HSA;8;08.08.2005;;;;;;;;;;;;;;;;;;;;
HSP;1;08.08.2005;;;;;;;;;;;;;;;;;;;;
HSP;2;08.08.2005;;;;;;;;;;;;;;;;;;;;
HSP;3;08.08.2005;;;;;;;;;;;;;;;;;;;;
HSP;4;08.08.2005;;;;;;;;;;;;;;;;;;;;
HSP;5;08.08.2005;;;;;;;;;;;;;;;;;;;;
HSP;6;08.08.2005;;;;;;;;;;;;;;;;;;;;
HSP;7;08.08.2005;;;;;;;;;;;;;;;;;;;;
HSP;8;08.08.2005;;;;;;;;;;;;;;;;;;;;
HVA;1;08.08.2005;;;;;;;;;;;;;;;;;;;;
HVA;2;08.08.2005;;;;;;;;;;;;;;;;;;;;
HVA;3;08.08.2005;;;;;;;;;;;;;;;;;;;;
HVA;4;08.08.2005;;;;;;;;;;;;;;;;;;;;
HVA;5;08.08.2005;;;;;;;;;;;;;;;;;;;;
HVA;6;08.08.2005;;;;;;;;;;;;;;;;;;;;
HVA;7;08.08.2005;;;;;;;;;;;;;;;;;;;;
HVA;8;08.08.2005;;;;;;;;;;;;;;;;;;;;
HVP;1;08.08.2005;;;;;;;;;;;;;;;;;;;;
HVP;2;08.08.2005;;;;;;;;;;;;;;;;;;;;
HVP;3;08.08.2005;;;;;;;;;;;;;;;;;;;;
HVP;4;08.08.2005;;;;;;;;;;;;;;;;;;;;
HVP;5;08.08.2005;;;;;;;;;;;;;;;;;;;;
HVP;6;08.08.2005;;;;;;;;;;;;;;;;;;;;
HVP;7;08.08.2005;;;;;;;;;;;;;;;;;;;;
HVP;8;08.08.2005;;;;;;;;;;;;;;;;;;;;
LSA;1;07.09.2005;6101.270566;30651998.46;45682783.76;0;0;128302.3559;267241.0107;167745.1267;7822461.169;13992.7066;2164196.435;0;107979.6386;33483.80751;0;0;0;2455.143423;63673.87963;87112414.77
LSA;2;07.09.2005;32981.39655;16829781.04;91141082.1;0;130637.0399;125451.1924;0;41004.3643;724606.9293;19733.30418;352683.8635;0;0;18602.11528;105710.737;0;0;0;15918.46991;109538192.5
LSA;3;07.09.2005;258227.4483;20215062.34;51917356.22;0;0;0;0;81405.72325;4741912.993;9054.104269;1692104.566;12351.28602;35993.21287;7440.846113;0;12071.54132;0;0;47755.40972;79030735.68
LSA;4;07.09.2005;3741.345158;17939278.59;54488734.71;0;54432.09994;156813.9905;81656.97548;102510.9108;4629433.16;4604.437641;2259381;6175.643011;107979.6386;14881.69223;0;12071.54132;0;0;206940.1088;80068635.84
LSA;5;07.09.2005;13950.21847;18758584.39;44448113.93;0;91142.12083;131286.1316;68363.97947;21455.77202;1937902.253;8260.452911;784311.4987;0;35993.21287;14881.69223;52855.36849;0;0;0;143266.2292;66510367.25
LSA;6;07.09.2005;23484.13576;28715196.36;93161450.91;0;69984.1285;100808.9939;0;65899.8712;2652578.938;18182.83028;991923.366;0;35993.21287;44645.07668;0;0;1831.719755;0;95510.81944;125977490.4
LSA;7;07.09.2005;61185.38313;15331238.89;45682783.76;0;0;62725.59621;130651.1608;61506.54645;1851773.264;14471.08973;1190308.039;6175.643011;35993.21287;29763.38445;105710.737;0;0;0;63673.87963;64627960.59
LSA;8;07.09.2005;1381.419751;11973928.12;12654.44744;0;0;141132.5915;0;61506.54645;1026526.483;13418.64684;1124179.815;12351.28602;35993.21287;7440.846113;0;0;499.5599331;0;47755.40972;14458768.38
LSP;1;07.09.2005;89637.574;12699846.58;43412027.36;0;101356.324;48666.41085;0;31813.73092;2436178.469;1428.963406;855106.35;0;0;18602.11528;0;0;666.0799108;0;15918.46991;59711248.42
LSP;2;07.09.2005;106852.7372;7252093.438;33672813.58;0;133173.6814;54808.77338;142701.5105;44786.32023;949727.5287;1839.220583;442994.9013;0;35993.21287;11161.26917;0;0;0;0;0;42848946.18
LSP;3;07.09.2005;36804.83171;13123771.03;54243841.52;0;117573.3359;56453.03658;0;129163.7476;2934658.064;9471.986004;991923.366;12351.28602;71986.42573;44645.07668;105710.737;0;0;0;31836.93981;71910191.39
LSP;4;07.09.2005;131785.0426;10342102.17;48488851.56;0;97977.77989;176415.7393;36745.63897;57662.3873;701962.9628;887.9986879;768740.6087;12351.28602;35993.21287;11161.26917;0;12071.54132;0;0;0;60874709.2
LSP;5;07.09.2005;360924.8013;11081876.37;65250429.88;0;89070.70899;85534.90392;178160.6738;111830.0845;1591939.466;2690.905115;871690.2307;0;0;22322.53834;52855.36849;0;541.1899276;0;31836.93981;79731704.06
LSP;6;07.09.2005;125255.1531;14963253.69;44862548.56;0;150735.046;162845.2978;0;106453.6381;1846354.195;5009.223368;1106376.062;0;71986.42573;40924.65362;0;0;249.7799666;0;15918.46991;63457910.19
LSP;7;07.09.2005;96411.58677;11694089.02;62556604.79;0;0;198080.8301;0;32371.86655;2574261.459;6854.726714;974521.2017;24702.57204;35993.21287;33483.80751;105710.737;0;0;0;15918.46991;78349004.28
LSP;8;07.09.2005;198864.8165;8037052.968;49101084.53;0;290304.533;209085.3207;0;45560.40478;2124619.083;1754.071482;538822.5692;6175.643011;107979.6386;37204.23057;158566.1055;0;0;0;47755.40972;60904829.33
LVA;1;07.09.2005;345.3549377;21669365.66;57109091.84;0;0;910532.8481;94827.4554;59522.46431;5492988.013;4201.284115;1727866.509;6175.643011;0;29763.38445;0;0;0;0;143266.2292;87247946.69
LVA;2;07.09.2005;575.5915628;16318259.44;40888416.49;0;40824.07496;117610.4929;0;0;2264396.654;2959.995626;1115913.787;0;35993.21287;18602.11528;52855.36849;24143.08264;249.7799666;0;63673.87963;60944473.97
LVA;3;07.09.2005;8230.959348;13153412.53;55223414.28;0;0;302426.9817;0;32949.9356;1164546.851;10571.41295;1133626.704;6175.643011;0;3720.423057;52855.36849;0;0;2713.579572;15918.46991;71110563.13
LVA;4;07.09.2005;4374.495877;19989933.71;46692968.17;0;0;0;71698.80774;67507.18513;1104583.734;10973.64232;1112889.63;12351.28602;107979.6386;26042.9614;52855.36849;0;0;0;47755.40972;69301914.04
LVA;5;07.09.2005;17808.78954;19684991.52;53019375.57;0;50245.01533;144751.3759;0;70969.09206;2461805.593;5768.196605;1729507.407;6175.643011;71986.42573;3720.423057;52855.36849;0;0;0;127347.7593;77447308.18
LVA;6;07.09.2005;37240.77411;26387372.59;81392000.83;0;85198.06947;122723.9926;0;280790.7555;8427493.634;14413.89175;1897592.526;6175.643011;35993.21287;7440.846113;0;0;6202.86917;0;63673.87963;118764313.5
LVA;7;07.09.2005;2014.57047;12060382.47;67513991.24;0;32659.25996;94088.39431;97988.37057;15376.63661;2143628.833;6511.990378;595154.0196;6175.643011;0;7440.846113;52855.36849;0;0;710.6994118;63673.87963;82692652.22
LVA;8;07.09.2005;3338.431064;20749045.11;80622336.52;0;61236.11243;0;0;57662.3873;5717601.552;12949.98087;929928.1556;0;35993.21287;18602.11528;0;0;291.409961;0;47755.40972;108256740.4
LVP;1;07.09.2005;98541.96877;14015580.95;50325550.48;0;226102.569;162845.2978;113063.5045;35484.54603;2647602.242;1138.459856;953772.4673;12351.28602;0;29763.38445;0;0;0;0;0;68621797.16
LVP;2;07.09.2005;58249.86616;16463916.23;60012436.65;0;127797.1042;122723.9926;63905.45907;40112.96508;3150464.91;1029.563696;1035050.469;18526.92903;0;22322.53834;52855.36849;12071.54132;0;0;15918.46991;81197382.06
LVP;3;07.09.2005;18591.60748;14014705.91;64202831.23;0;240647.1787;148560.6226;103145.6532;113301.5329;1398364.25;207.7189913;1009325.53;0;35993.21287;44645.07668;105710.737;0;0;0;31836.93981;81467867.2
LVP;4;07.09.2005;14840.65795;11849332.14;55358105.53;0;268958.6115;166038.3429;0;18090.16072;4049274.017;5339.599953;855777.0217;18526.92903;0;18602.11528;0;12071.54132;0;0;15918.46991;72650875.13
LVP;5;07.09.2005;14642.78251;16453344.37;46356240.03;0;0;88207.86966;275592.2922;0;8434877.537;11469.98305;1053918.576;0;143972.8515;29763.38445;52855.36849;0;457.9299387;0;15918.46991;72931261.45
LVP;6;07.09.2005;67079.77392;11836387.1;49524938.13;0;213769.7016;256604.7117;160344.6064;0;2931364.396;3659.630956;1226377.98;30878.21505;0;14881.69223;0;0;166.5199777;0;15918.46991;66282370.93
LVP;7;07.09.2005;108633.6162;11694916.34;46468482.75;0;320654.5524;102641.8847;0;67098.05068;3458351.254;3444.358547;649258.9305;0;0;7440.846113;0;0;2914.09961;0;0;62883836.67
LVP;8;07.09.2005;38046.6023;11401168.02;41658080.8;0;326592.5996;176415.7393;183728.1948;0;2830495.818;0;743942.5245;12351.28602;0;14881.69223;0;0;416.2999443;0;0;57386119.58
HSA;1;07.09.2005;33836.70012;13852345.46;47141939.02;0;0;320755.8897;66810.25266;83872.56335;1976200.716;23949.05552;1037010.792;0;0;11161.26917;52855.36849;12071.54132;0;0;15918.46991;64628727.09
HSA;2;07.09.2005;20548.61879;16923439.92;57513165.6;0;0;282265.1829;0;0;1494501.792;21015.96895;1934250.564;0;35993.21287;11161.26917;0;0;0;0;31836.93981;78268179.07
HSA;3;07.09.2005;1496.538063;12703497.01;57378474.35;0;39990.93057;115210.2787;0;0;2513942.408;18605.68679;688273.356;0;35993.21287;11161.26917;0;0;0;0;15918.46991;73522563.5
HSA;4;07.09.2005;15138.0581;12744564.35;55088723.02;0;0;97332.8217;50683.63995;318137.3092;936991.7189;10819.29436;513063.81;0;35993.21287;3720.423057;0;0;0;0;0;69815167.66
HSA;5;07.09.2005;18476.48917;12182204.52;45682783.76;0;0;470441.9715;89080.33689;41936.28167;109788.9287;9507.864739;811573.6631;0;0;11161.26917;0;0;0;0;31836.93981;59458792.02
HSA;6;07.09.2005;9957.734037;11757792.23;47254181.73;0;32659.25996;188176.7886;48994.18529;0;724606.9293;15589.3103;1024987.478;0;35993.21287;14881.69223;105710.737;12071.54132;0;0;31836.93981;61257439.77
HSA;7;07.09.2005;24750.4372;11781237.48;60760721.4;0;66425.61349;239207.7821;0;15637.25757;1473776.805;11438.62717;806988.5012;0;35993.21287;3720.423057;52855.36849;0;0;0;0;75272752.91
HSA;8;07.09.2005;47543.86309;13069864.2;79083007.9;0;0;55346.1143;57640.21799;54270.48216;1420797.901;15554.48682;1361463.444;0;0;3720.423057;52855.36849;0;0;0;0;95222064.4
HSP;1;07.09.2005;47490.10543;10071932.32;36995197.86;0;97977.77989;47044.19715;0;15376.63661;4106105.933;1775.997376;595154.0196;6175.643011;0;11161.26917;0;0;0;0;47755.40972;52043147.16
HSP;2;07.09.2005;66090.39672;9902953.35;34346269.86;0;127243.87;146631.2639;38177.28724;71890.76858;1599781.532;768.8300328;566813.352;0;0;11161.26917;0;0;0;0;31836.93981;46909618.71
HSP;3;07.09.2005;70047.90551;8940397.38;36905403.69;0;115267.9763;66415.33716;69168.26158;54270.48216;1300030.079;975.0573828;606823.7063;0;35993.21287;37204.23057;0;24143.08264;333.0399554;0;15918.46991;48242391.91
HSP;4;07.09.2005;27306.81062;12556465.79;43412027.36;0;217728.3998;134411.9919;46661.12885;14644.41582;2242830.972;1503.489842;314896.3067;6175.643011;0;11161.26917;0;12071.54132;0;0;0;58997885.12
HSP;5;07.09.2005;29087.68958;9726114.897;27207633.38;0;128918.1314;37140.15565;0;24278.89992;1763845.815;155.7892435;835303.8872;0;35993.21287;7440.846113;52855.36849;0;0;0;63673.87963;39912441.95
HSP;6;07.09.2005;13411.28341;12829208.7;72564913.27;0;104976.1927;100808.9939;104987.5399;82374.839;2361442.225;4439.993439;743942.5245;0;71986.42573;26042.9614;0;0;0;0;47755.40972;89056290.36
HSP;7;07.09.2005;17613.10182;12441321.97;72059821.07;0;122472.2249;176415.7393;137796.1461;57662.3873;1047283.453;5919.991253;557956.8934;30878.21505;0;22322.53834;52855.36849;0;0;0;0;86730319.1
HSP;8;07.09.2005;80928.17373;11403741.06;57378474.35;0;311040.5711;89607.99458;46661.12885;87866.49493;1869025.81;3570.788375;976178.5507;18526.92903;71986.42573;26042.9614;52855.36849;0;0;0;0;72416506.61
HVA;1;07.09.2005;7252.453691;12927627.72;47815395.29;0;30618.05622;0;0;0;537794.2054;11654.98278;278978.4467;0;0;3720.423057;0;0;291.409961;0;15918.46991;61629251.45
HVA;2;07.09.2005;20974.79657;10474277.58;43515636.02;0;0;0;56531.75225;0;1428311.736;26639.96064;1373432.353;6175.643011;0;14881.69223;0;0;0;0;0;56916861.53
HVA;3;07.09.2005;3511.108533;21220614.32;46243997.32;0;118760.9453;0;178160.6738;55915.04223;3897506.968;9687.258413;2043963.3;0;35993.21287;18602.11528;0;0;0;0;15918.46991;73842630.74
HVA;4;07.09.2005;19886.48165;20291345.59;32484361.34;0;0;83019.17145;0;54270.48216;3942714.174;21590.55633;816878.0661;6175.643011;0;7440.846113;0;0;0;0;79592.34953;57807274.7
HVA;5;07.09.2005;11051.35801;14544673.78;49835764.1;0;76845.31756;0;57640.21799;18090.16072;1349758.006;13232.92162;739080.1551;0;0;7440.846113;52855.36849;0;0;0;31836.93981;66738269.18
HVA;6;07.09.2005;47601.42224;13906274.92;50447997.08;0;41692.6723;120112.8438;62545.76845;39259.49774;1657345.636;22672.30692;379885.5444;0;71986.42573;3720.423057;0;12071.54132;0;0;47755.40972;66860921.49
HVA;7;07.09.2005;22275.39348;12427813.48;45173374.53;0;0;0;0;0;1811517.323;0;702612.3843;0;0;3720.423057;52855.36849;0;0;0;0;60194168.9
HVA;8;07.09.2005;64111.64233;13400424.97;47590909.86;0;36288.06663;52271.33017;0;0;2079890.26;10743.68783;514330.6342;0;35993.21287;0;105710.737;0;0;0;47755.40972;63938429.81
HVP;1;07.09.2005;34826.07732;10610307.16;41650680.19;0;29690.23633;171069.8078;89080.33689;41936.28167;2881959.378;179.3936743;631223.9602;0;0;14881.69223;105710.737;0;0;0;0;56261545.25
HVP;2;07.09.2005;7540.249473;8969639.294;38611492.91;0;244944.4497;78406.99526;0;25627.72769;2843075.799;1973.330418;495961.683;12351.28602;35993.21287;29763.38445;0;12071.54132;0;2261.31631;47755.40972;51418858.59
HVP;3;07.09.2005;6389.066347;10885389.2;28150472.16;0;237521.8907;128302.3559;44540.16844;27957.52112;2497698.128;179.3936743;721398.8116;6175.643011;71986.42573;3720.423057;0;0;0;0;15918.46991;42797649.65
HVP;4;07.09.2005;171558.0059;12492654.25;28487200.29;0;228614.8198;0;195976.7411;169143.0027;2053052.966;789.332167;628218.1318;0;0;29763.38445;52855.36849;0;0;0;31836.93981;44541663.23
HVP;5;07.09.2005;43928.34752;9734997.194;28352509.04;0;26843.22737;115999.3902;80538.38677;25276.66293;2531161.191;162.1915412;461991.7047;0;35993.21287;14881.69223;105710.737;0;0;0;0;41529992.98
HVP;6;07.09.2005;6331.507191;8384888.094;61808320.04;0;107372.9095;193332.3171;161076.7735;63191.65731;3052282.613;486.5746235;597871.6179;24702.57204;71986.42573;14881.69223;0;0;499.5599331;0;0;74487224.36
HVP;7;07.09.2005;10763.56222;13184289.08;36815609.52;0;97977.77989;94088.39431;97988.37057;15376.63661;2022861.011;1973.330418;495961.683;0;35993.21287;29763.38445;0;0;166.5199777;0;63673.87963;52966486.37
HVP;8;07.09.2005;33211.63317;11369339.79;46105852.45;0;107372.9095;0;40269.19339;88468.32024;1191134.678;1621.915412;461991.7047;6175.643011;0;22322.53834;0;0;0;0;31836.93981;59459597.71
LSA;1;05.10.2005;18649.16664;30284451.88;54011192.99;0;0;0;0;0;852478.7404;348.2347796;991923.366;0;0;0;0;0;0;0;0;86159044.37
LSA;2;05.10.2005;21124.21036;21225426.25;47478667.15;0;0;0;0;0;36969.74129;724.8968881;647786.688;0;0;0;0;0;0;0;0;69410698.94
LSA;3;05.10.2005;313434.6958;29944644.65;56166253.06;0;0;0;0;0;0;0;1623147.326;0;0;0;0;0;0;0;0;88047479.73
LSA;4;05.10.2005;10533.3256;32465100.76;59398843.16;0;0;0;0;0;249864.4584;3266.20207;1710212.7;0;0;0;0;0;0;0;0;93837820.61
LSA;5;05.10.2005;13296.1651;23919038.12;86202402.77;0;0;0;0;0;0;4933.326044;2975770.098;0;0;0;0;0;0;0;0;113115440.5
LSA;6;05.10.2005;80733.17923;24229970.45;68842196.66;0;51567.25258;0;0;0;381372.0681;10282.09007;417651.9436;0;0;0;0;0;0;0;0;94013773.64
LSA;7;05.10.2005;47490.10543;20969779.64;46580725.46;0;0;0;0;0;154171.6871;1259.572607;717561.5839;0;0;0;0;0;0;0;0;68470988.04
LSA;8;05.10.2005;7310.012848;23219169.53;59398843.16;0;0;0;0;0;301919.5539;281.9043454;850220.028;0;0;0;0;0;0;0;0;83777744.19
LSP;1;05.10.2005;748.2690317;7189938.101;22466501.22;0;0;0;0;0;0;26977.17533;50223.9679;0;0;0;0;0;0;0;0;29734388.74
LSP;2;05.10.2005;72422.41078;16497191.61;42235329.04;0;64247.72452;0;0;0;326667.0583;0;97566.23272;0;0;0;0;0;0;0;0;59293424.07
LSP;3;05.10.2005;284347.0063;22102243.71;40888416.49;0;0;0;0;0;0;257.390924;301889.7201;0;0;0;0;0;0;0;0;63577154.32
LSP;4;05.10.2005;16692.15532;21559554.69;59533534.42;0;0;0;0;0;0;0;41330.14025;0;0;0;0;0;0;0;0;81151111.4
LSP;5;05.10.2005;292064.1484;15885987.67;41465664.73;0;61236.11243;0;0;0;0;369.9994533;123990.4208;0;0;0;0;0;0;0;0;57829313.07
LSP;6;05.10.2005;31254.62186;18889460.88;28015780.9;0;0;0;0;0;0;446.7917926;561466.0562;0;0;0;0;0;0;0;0;47498409.25
LSP;7;05.10.2005;2014.57047;17539976.7;41650680.19;0;33212.80674;0;0;0;0;602.0330087;168122.6044;0;0;0;0;0;0;0;0;59394608.9
LSP;8;05.10.2005;13986.87498;21933093.88;49723521.39;0;42599.03474;0;0;0;0;1544.345544;172508.4115;0;0;0;0;0;0;0;0;71887253.94
LVA;1;05.10.2005;2072.129626;22517429.64;77447471.24;0;0;0;0;0;0;1614.543069;631223.9602;0;0;0;0;0;0;0;0;100599811.5
LVA;2;05.10.2005;2705.280345;20060939.03;90243140.4;0;0;0;0;0;258788.189;1933.058368;364380.012;0;0;0;0;0;0;0;0;110931886
LVA;3;05.10.2005;1841.893001;8093088.198;63439580.79;0;0;0;0;0;0;5919.991253;257165.3171;0;0;0;0;0;0;0;0;71797596.19
LVA;4;05.10.2005;978.5056568;7780891.918;64651802.08;0;16892.72067;0;0;0;0;3572.408515;307838.286;0;35993.21287;0;0;0;0;0;0;72797969.13
LVA;5;05.10.2005;0;6034513.954;49101084.53;0;0;18817.67886;0;0;193228.5145;1499.731117;224835.963;0;0;0;0;0;0;0;0;55573980.38
LVA;6;05.10.2005;12029.86366;7048339.752;45121570.2;0;0;21546.96053;0;0;165940.5182;2711.446375;30287.73637;0;0;0;0;0;0;0;0;52402426.48
LVA;7;05.10.2005;3971.581783;9191021.197;69702724.12;0;0;0;0;0;211050.5619;2299.025729;77042.59153;0;0;0;0;0;0;0;0;79188109.08
LVA;8;05.10.2005;7194.894535;5961982.119;50325550.48;0;0;0;0;0;258788.189;1845.192079;38646.36491;0;0;0;0;0;0;0;0;56594007.24
LVP;1;05.10.2005;9497.260786;12530673.33;47141939.02;0;23609.10359;0;0;22231.28185;0;285.3007833;95607.07142;0;0;0;0;0;0;0;0;59823842.36
LVP;2;05.10.2005;6849.539598;13728951.52;33841177.65;0;0;0;0;0;0;157.8664334;79353.86928;0;0;0;0;0;0;0;0;47656490.44
LVP;3;05.10.2005;6101.270566;10004003.89;26938250.87;0;119972.7917;0;0;0;203333.5771;362.448444;101216.67;0;0;0;0;0;0;0;0;37373241.52
LVP;4;05.10.2005;29470.28802;5870613.064;39349087.87;0;58669.32928;0;0;0;75931.86385;354.4904942;83155.25224;0;0;0;0;0;0;0;0;45467282.16
LVP;5;05.10.2005;2993.076127;9809573.309;25649899.74;0;58204.62172;0;0;0;0;1172.275496;117852.2811;0;0;0;0;0;0;0;0;35639695.3
LVP;6;05.10.2005;1669.215532;5913477.857;39156671.8;0;52254.81594;0;0;0;24153.56431;3867.727618;52902.57952;0;0;0;0;0;0;0;0;45204997.56
LVP;7;05.10.2005;22735.86673;6714008.392;36535002.74;0;55590.22973;0;0;0;244105.1712;671.772057;70349.17489;0;0;0;0;0;0;0;0;43642463.35
LVP;8;05.10.2005;978.5056568;8386072.4;50937783.46;0;32659.25996;0;0;0;0;690.6656461;82660.2805;0;0;0;0;0;0;0;0;59440844.57
HSA;1;05.10.2005;25153.3513;11900187.64;40599792.38;0;0;110692.2286;0;0;0;38770.13879;38898.95553;0;0;0;0;0;0;0;0;52713494.69
HSA;2;05.10.2005;7482.690317;11099213.47;38252316.23;0;0;0;0;0;0;14799.97813;233393.7332;0;0;0;0;0;0;0;0;49607206.1
HSA;3;05.10.2005;3453.549377;11939644.49;60745755.7;0;0;0;0;0;374796.6876;23067.55212;376246.794;0;0;0;0;0;0;0;0;73462964.78
HSA;4;05.10.2005;2417.484564;11014509.34;36097256.16;0;50897.548;36657.81596;0;0;0;10609.85445;77292.72982;0;0;0;0;0;0;0;0;47289640.93
HSA;5;05.10.2005;5640.797316;21347575.26;50203103.89;0;251225.0767;0;0;0;278694.9728;20036.89347;101735.7298;0;0;0;0;0;0;0;0;72208012.62
HSA;6;05.10.2005;22217.83432;7942993.833;40599792.38;0;0;0;0;0;0;37739.94424;92992.81556;0;0;0;0;0;0;0;0;48695736.8
HSA;7;05.10.2005;1266.301438;8668186.61;51672463.03;0;0;0;0;0;190686.034;21031.54787;156619.4788;0;0;0;0;0;0;0;0;60710253
HSA;8;05.10.2005;805.8281879;8620007.713;61060035.3;0;0;0;0;0;0;79397.52974;116696.8666;0;0;0;0;0;0;0;0;69876943.24
HSP;1;05.10.2005;0;5935117.966;42479549.44;0;60109.06742;0;0;0;144476.8417;581.1034358;36512.51654;0;0;0;0;0;0;0;0;48656346.94
HSP;2;05.10.2005;8921.669224;8434748.381;24489318.97;0;32933.70753;0;0;0;167451.1811;298.4869539;66683.92376;0;0;0;0;0;0;0;0;33200356.32
HSP;3;05.10.2005;2244.807095;6423959.332;32167440.74;0;51908.75756;0;0;0;59984.01733;627.2838413;157656.6939;0;0;0;0;0;0;0;0;38863821.63
HSP;4;05.10.2005;8691.432599;10004003.89;39060463.76;0;59986.39585;0;0;0;277273.0597;362.448444;60730.002;0;0;0;0;0;0;0;15918.46991;49487429.46
HSP;5;05.10.2005;5640.797316;4869955.402;16004490.22;0;10423.16807;0;0;0;327614.8351;566.8076731;31657.1287;0;0;0;0;0;0;0;0;21250348.36
HSP;6;05.10.2005;5180.324065;11791971.86;56570326.82;0;0;0;0;0;0;413.0226455;207611.8673;0;0;0;0;0;0;0;0;68575503.89
HSP;7;05.10.2005;0;10074207.43;30904160.02;0;0;0;0;0;400440.6715;1246.313948;125295.5831;0;0;0;0;0;0;0;0;41505350.02
HSP;8;05.10.2005;748.2690317;7579835.279;34093723.75;0;60761.41389;0;0;0;182556.0093;183.5656202;92271.94102;0;0;0;0;0;0;0;0;42010080.23
HVA;1;05.10.2005;21642.24276;8501344.873;51070433.94;56387.91668;0;0;0;0;0;49771.77831;183689.5122;0;0;0;0;0;0;0;0;59883270.26
HVA;2;05.10.2005;0;5023453.028;32325901.04;0;0;0;0;0;0;26297.2243;125295.5831;0;0;0;0;0;0;0;0;37500946.88
HVA;3;05.10.2005;645865.4339;28974559.43;60910378.35;0;0;0;0;0;207030.5512;338.2852144;340088.0112;0;0;0;0;0;0;0;0;91078260.06
HVA;4;05.10.2005;1266.301438;5718486.831;28781394.35;0;0;34007.85336;0;0;0;30241.88303;119508.8393;0;0;0;0;0;0;0;0;34684906.06
HVA;5;05.10.2005;14907.82148;3367848.74;30155875.28;0;43870.64771;0;0;6885.06117;40556.35798;19527.13533;14804.82636;0;0;0;0;0;0;0;0;33664275.87
HVA;6;05.10.2005;0;5069368.977;42997592.73;0;0;0;0;0;109788.9287;47539.3237;90174.85145;0;0;0;0;0;0;0;0;48314464.81
HVA;7;05.10.2005;14850.26232;9537867.512;39445295.91;0;31605.73545;0;0;0;0;31127.69594;319975.2794;0;0;0;0;0;0;0;0;49380722.4
HVA;8;05.10.2005;2187.247939;5045790.516;24478671.44;0;0;0;0;0;230556.7502;61352.63662;0;0;0;0;0;0;124.8899833;0;15918.46991;29834601.95
HVP;1;05.10.2005;8173.400192;3648502.802;22574254.23;0;7311.774619;10532.28294;0;0;67593.92997;88.3580784;88828.95815;0;0;0;0;0;0;0;0;26405285.73
